[2015]
Kanada,Latvia,6,1
Yhdysvallat,Suomi,5,1
Tsekki,Ruotsi,5,5
Venäjä,Norja,6,2
Sveitsi,Itävalta,3,3
Slovakia,Tanska,3,3
Ranska,Saksa,1,2
Valko-Venäjä,Slovenia,4,2
Latvia,Tsekki,2,4
Norja,Yhdysvallat,1,2
Itävalta,Ruotsi,1,6
Venäjä,Slovenia,5,3
Kanada,Saksa,10,0
Valko-Venäjä,Slovakia,1,1
Ranska,Sveitsi,1,3
Tanska,Suomi,0,3
Latvia,Ruotsi,1,8
Venäjä,Yhdysvallat,2,4
Kanada,Tsekki,6,3
Norja,Suomi,0,5
Sveitsi,Saksa,1,0
Tanska,Valko-Venäjä,1,5
Itävalta,Ranska,0,2
Slovakia,Slovenia,3,1
Sveitsi,Latvia,1,1
Venäjä,Tanska,5,2
Ruotsi,Kanada,4,6
Slovakia,Norja,2,3
Tsekki,Ranska,5,1
Yhdysvallat,Valko-Venäjä,2,5
Ruotsi,Saksa,4,3
Suomi,Slovenia,4,0
Tsekki,Itävalta,4,0
Slovenia,Norja,1,3
Saksa,Latvia,2,1
Yhdysvallat,Tanska,1,0
Ranska,Kanada,3,4
Valko-Venäjä,Venäjä,0,7
Itävalta,Latvia,1,1
Suomi,Slovakia,3,0
Ruotsi,Sveitsi,1,1
Tanska,Norja,4,1
Saksa,Tsekki,2,4
Slovenia,Yhdysvallat,1,3
Sveitsi,Kanada,2,7
Slovakia,Venäjä,2,2
Saksa,Itävalta,2,2
Suomi,Valko-Venäjä,2,2
Ruotsi,Ranska,4,2
Slovenia,Tanska,1,0
Kanada,Itävalta,10,1
Norja,Valko-Venäjä,2,3
Latvia,Ranska,2,2
Yhdysvallat,Slovakia,4,4
Tsekki,Sveitsi,1,1
Suomi,Venäjä,2,2
[2016]
Ruotsi,Latvia,1,1
Yhdysvallat,Kanada,1,5
Suomi,Valko-Venäjä,6,2
Tsekki,Venäjä,3,0
Sveitsi,Kazakstan,2,2
Slovakia,Unkari,4,1
Norja,Tanska,0,3
Ranska,Saksa,2,2
Latvia,Tsekki,3,3
Valko-Venäjä,Yhdysvallat,3,6
Kazakstan,Venäjä,4,6
Unkari,Kanada,1,7
Norja,Sveitsi,3,3
Suomi,Saksa,5,1
Ruotsi,Tanska,5,2
Ranska,Slovakia,1,5
Latvia,Venäjä,0,4
Valko-Venäjä,Kanada,0,8
Ruotsi,Tsekki,2,4
Suomi,Yhdysvallat,3,2
Sveitsi,Tanska,2,2
Slovakia,Saksa,1,5
Kazakstan,Norja,2,4
Unkari,Ranska,2,6
Sveitsi,Latvia,5,4
Slovakia,Valko-Venäjä,2,4
Ruotsi,Kazakstan,7,3
Suomi,Unkari,3,0
Tsekki,Norja,7,0
Yhdysvallat,Ranska,4,0
Venäjä,Tanska,10,1
Kanada,Saksa,5,2
Tsekki,Kazakstan,3,1
Yhdysvallat,Unkari,5,1
Tanska,Latvia,2,2
Saksa,Valko-Venäjä,5,2
Norja,Ruotsi,2,3
Ranska,Suomi,1,3
Venäjä,Sveitsi,5,1
Unkari,Valko-Venäjä,5,2
Kazakstan,Latvia,1,2
Kanada,Slovakia,5,0
Tanska,Tsekki,1,1
Saksa,Yhdysvallat,3,2
Sveitsi,Ruotsi,2,2
Slovakia,Suomi,0,5
Venäjä,Norja,3,0
Kanada,Ranska,4,0
Tanska,Kazakstan,4,1
Saksa,Unkari,4,2
Tsekki,Sveitsi,5,4
Yhdysvallat,Slovakia,2,2
Latvia,Norja,1,3
Valko-Venäjä,Ranska,3,0
Venäjä,Ruotsi,4,1
Kanada,Suomi,0,4
[2017]
Ruotsi,Venäjä,1,1
Suomi,Valko-Venäjä,3,2
Yhdysvallat,Saksa,1,2
Tsekki,Kanada,1,4
Latvia,Tanska,3,0
Sveitsi,Slovenia,4,4
Slovakia,Italia,2,2
Valko-Venäjä,Tsekki,1,6
Saksa,Ruotsi,2,7
Norja,Ranska,3,2
Italia,Venäjä,1,10
